 ,age,vocation,education_level,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,text,emotion,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a fox who is stuck in a well, and it tricks a goat into jumping in the well. The goat tries to get out but ultimately ends up stuck in the well with the fox. The fox then leaves the goat stuck in the well, and the fox scolds the goat for not being cautious when getting down from the well.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. The story teaches that one should not be taken in by clever words and should always be cautious when forming judgment based on words.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I agree with the lesson because it fits real life. There are always cowards and cheaters who truly avoid work and shy away from making friends.,negative,,,
male,43,doctor,phd,low,high,low,low,low,5. Yeah.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. It's just a story, nothing special.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"2. The fox tricked the crow into giving him the cheese by flattering her about her singing voice, which made the crow forget about the cheese and sing, and the cheese fell into the fox's mouth.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. Don't trust anyone just because they're flattering. Such a simple lesson.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. Yeah, it fits my experience. People will say good things to get what they want, but when they get it, they won't take care of it anymore. That's how things usually go.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. This story reminds me of when I had to deal with some tricky patients who would flatter me just to get what they wanted but once they got it, they'd lose interest. It's not that hard to understand.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. I'm a doctor, I don't have time to indulge in fiction, the story is irrelevant to my work.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a man who befriends a satyr and they live together in a hut. The man prepares porridge for them to eat but blows hot and cold at the same time, which surprises the satyr and causes him to leave.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. It's a story about a man's inconsistency, if someone is inconsistent, I wouldn't want to be friends with them either.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"4. It's a straightforward lesson about being consistent, if you can't deliver what you promise, people won't trust you.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, I didn't relate it to my own experience, medical practice doesn't involve making friends with mythological creatures.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I dislike this story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a lion who orders all animals with horns to leave his domain within 24 hours, and as a result, many animals prepare to leave, including the hare, who is afraid that the lion will think his long ears are horns.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. I learned that even small characteristics can be misconstrued by others.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I agree with the lesson. It's a cautionary tale about being aware of how others might perceive us.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, I don't see myself in this story.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I didn't care for the story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The cock and the dog set out on a journey to the woods, where they encountered a hungry fox.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. Don't let your guard down.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I agree with the lesson; people need to be cautious and aware of their surroundings.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, this doesn't relate to my own experience.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, I don't like this story.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a jackdaw who tries to imitate the actions of an eagle but fails. A jackdaw sees an eagle seize a lamb, and then the jackdaw thinks he is powerful like the eagle. He attempts to grab a large ram but gets his claws tangled in the wool. The ram barely notices the jackdaw, and the shepherd comes to catch the bird, clipping its wings.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. It teaches us to be mindful of our own abilities and not to overestimate ourselves by trying to do something beyond our capabilities.,positive,,,
male,43,doctor,phd,low,high,low,low,low,"4. Yes, I agree with the lesson. It's essential to stay grounded and recognize our limitations.",positive,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, this story does not relate to my own experience as a doctor.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I dislike the story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The farmer's wagon got stuck in the mud, and Hercules came to help him. Hercules told the farmer to put his shoulder to the wheel and urge on the horses, and when the farmer did so, the wagon was able to move out of the rut.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. I learned that one needs to make an effort in order to achieve their goals and that relying solely on external help is not enough.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I agree with the lesson - it's essential to take initiative and put in the work required to overcome obstacles. The story highlights the importance of personal responsibility and not giving up easily.,positive,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, this story doesn't relate to my own experience as a doctor.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I don't like this story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about an ass that takes a wrong decision, leading to chaos. Despite being stopped by his master, he goes his own way. His attempt to find a shortcut results in him tumbling down the mountain side.",negative,,,
male,43,doctor,phd,low,high,low,low,low,3. Don't take risks and follow instructions to avoid unforeseen consequences.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. Yes, that's true. One should be cautious in life and take guidance from others if needed. Defying decisions without proper knowledge or experience can lead to regrettable outcomes.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, I don't have personal experiences like this. As a doctor, I've seen people disregard warnings and face the consequences. I think this story applies universally.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, it's a typical story about a lion and a gnat.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,2. The story is about a lion that was stung by a gnat and then got tired after fighting with the gnat.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. The main lesson here is that pride goes before a fall.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I think that's a lesson worth remembering in real life. Life is full of unexpected events and sometimes it's better to remain humble and avoid unnecessary conflicts.,positive,,,
male,43,doctor,phd,low,high,low,low,low,5. I just think of people like that lion who are too proud to listen to others.,negative,,,
male,43,doctor,phd,low,high,low,low,low,1. It's an interesting story but it's not really my thing. ,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a man who claims to have done a remarkable leap in a city called Rhodes, but when challenged to prove it, he falls flat. ",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. I learned that people who exaggerate and boast may not live up to their claims. ,negative,,,
male,43,doctor,phd,low,high,low,low,low,"4. I agree with the lesson that one should be careful not to exaggerate or boast, as it may lead to trouble when confronted. I think it's always best to be honest and humble. ",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. Actually, I have known people like that in my daily practice, always talking about what they can do but failing to deliver. It's both astonishing and disappointing.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"1. I'm indifferent to the story, it's just something that happened to a cock.",negative,,,
male,43,doctor,phd,low,high,low,low,low,2. The main content of the story is that a cock finds a lost jewel and is more interested in food than the jewel.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. Don't stop to think about it, just do it. Focus on finding something to eat.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. The lesson is clear: don't be distracted by fancy things when there's more pressing matters to attend to.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, I don't relate this story to my own experience. It's just a story about a chicken.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I don't really care for this story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The ass and the fox worked together to trick the lion, but they eventually got caught and the lion ate the fox.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. One should be cautious of people who try to trick others.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. I agree, it is a bad idea to take advantage of others and expect to get away with it.",negative,,,
male,43,doctor,phd,low,high,low,low,low,5. No.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. The story is okay, I guess.",positive,,,
male,43,doctor,phd,low,high,low,low,low,"2. The wolf stole a lamb, but a lion took it away from him, and the wolf complained about it.",negative,,,
male,43,doctor,phd,low,high,low,low,low,3. One shouldn't take what doesn't belong to him.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. I'm not sure I agree, but I suppose it's not a bad lesson to learn.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. Actually, it reminded me of a case I once had, all about ownership and property rights.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, I don't like this story. It's too predictable.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story revolves around a peacock who was granted beautiful feathers by Juno to distinguish himself from other birds. However, this came with a cost - he could no longer fly freely due to the weight of his magnificent train.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. One can learn from the story that sometimes the price of looking good is paying a hefty penalty in terms of functionality.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. I agree with the lesson of the story. It highlights the importance of considering the consequences of one's actions. The peacock's desire for beauty led to him losing his ability to fly, which is essential for a bird.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. I don't see a direct connection between this story and my own experience as a doctor. However, the story does underscore the value of being practical and wise in one's choices.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, this story is not my favorite.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The wolf was looking for food and encountered a dog who was very lean and bony. The dog proposed to be eaten after a few days, when he would be fat and fine due to the wedding feast. However, the wolf failed to eat the dog at the appointed time because the guard dog would attack him.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. I should not judge a situation based on what it appears to be, as the dog in this story initially seemed worthless but was actually a better choice.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. Yes, the story makes sense. The wolf should have waited for the right time to eat the dog.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, but the story's themes of being patient and not acting on impulse might be relevant to some situations.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. The story is just a typical example.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"2. A young fox meets a lion multiple times and gradually becomes less afraid, eventually greeting the lion confidently.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. One should learn to overcome their fears gradually, but still maintain caution.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I disagree with this overly simplistic lesson; it doesn't take into account the complexity of fear and courage.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, I didn't relate this story to my own experience.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, I don't like this story.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. Some dogs were tearing the skin of a lion when a fox saw them and laughed, saying the lion would have defended itself.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. Unwary attitude.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. I disagree with the lesson, it's not worth taking life for granted.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. Yes, it made me think about the strengths and weaknesses while dealing with patients.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. The story's okay, but it's nothing special.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The dogs drank a lot of water but couldn't reach the hides at the bottom of the stream, that's the main point.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. You shouldn't expect a different outcome from a plan that's fundamentally flawed.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"4. No, because the story is meant to illustrate the foolishness of the dogs, not offer a lesson.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, this isn't related to my own experience.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I don't particularly enjoy the story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a rabbit who forgets to latch his door and a weasel moves in, and then a wise cat intervenes to settle the dispute.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. I learned that sometimes, disputes can be resolved through clever tactics, rather than just fighting or negotiating.",positive,,,
male,43,doctor,phd,low,high,low,low,low,"4. No, I do not agree with the lesson that disputes can be resolved through trickery, but the story seems to be conveying that is the case.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. To be honest, this story doesn't really relate to my personal experience.",negative,,,
male,43,doctor,phd,low,high,low,low,low,1. I don't like this story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The wolf pretended to be helpful around the flock of sheep, but the shepherd eventually forgot about his potential danger due to the wolf's actions over time.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. One should remain cautious, as appearances can be deceiving.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. No, I don't agree. Sometimes, people need to be given a chance to prove themselves.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, I don't have a similar experience.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, I don't like this story.",negative,,,
male,43,doctor,phd,low,high,low,low,low,2. The peacock and the crane are two birds. The peacock is vain and thinks his rainbow-colored tail makes him better than the crane. The crane shows the peacock that having freedom is more important than showing off.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. The story teaches us that it's better to focus on being truly special rather than just pretending to be.,positive,,,
male,43,doctor,phd,low,high,low,low,low,"4. Yes, I agree with the lesson because it's true that being authentic and free is more meaningful than trying to show off.",positive,,,
male,43,doctor,phd,low,high,low,low,low,5. It reminds me that sometimes people are more focused on appearances than substance.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I don't really have time for that.,negative,,,
male,43,doctor,phd,low,high,low,low,low,2. The story is about a farmer who takes measures to protect his grain from cranes.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. FIELD WORK IS NOT FOR THE BIRDS.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"4. Yeah, I agree with that. Farmers have to protect their crops.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. Yeah, I learn from stories like this and I can relate it to my experience as a doctor. Many patients can be like those cranes - they'll take what they can get while you're not paying attention.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. The story is too long. I'm bored with it.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The brass pot wanted to go out with the earthen pot, but the earthen pot was worried it would break because it's very fragile. Eventually, the earthen pot went out with the brass pot and got broken at the first bump.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"3. This story tells us that if we're too fragile or weak to handle the challenges of life, we should stay at home. I've seen patients like that before, who are too afraid to take on new experiences.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"4. I agree with the story's lesson. Some people are just not meant for the world outside their comfort zone. Whether work or life, there are people who are too fragile for certain tasks.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. As a doctor, I've seen people who are afraid of change, so they stay in their comfort zone. It's not a bad thing, but they often miss out on new opportunities.",negative,,,
male,43,doctor,phd,low,high,low,low,low,1. I'm not really impressed by the story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The countryman had a goose that laid a golden egg every day, but he got impatient and killed it to get all the eggs at once.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. Be patient and don't ruin what you already have.,positive,,,
male,43,doctor,phd,low,high,low,low,low,4. I think it's a good lesson. The countryman should have just waited for the goose to lay the eggs.,positive,,,
male,43,doctor,phd,low,high,low,low,low,"5. Actually, I've seen something similar happen in my practice as a doctor. Some patients get impatient with their conditions and make things worse.",negative,,,
male,43,doctor,phd,low,high,low,low,low,1. I disliked the story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The young fellow wasted his fortune by trying to keep up appearances, and then had to sell all his clothes when he realized he had no money left.",negative,,,
male,43,doctor,phd,low,high,low,low,low,3. I learned that you should prioritize saving money over trying to keep up appearances.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. The lesson was clear and straightforward. You can't keep living beyond your means without making some difficult choices.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. The story didn't relate to my own experience, but it made me think about how I spend my money.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, this story is annoying.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. A cat became a doctor, but the birds did not need his help. They laughed at him and asked him to stay away.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. You should always know your place and not pretend to be something you are not.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I agree with the lesson. The cat looked foolish and didn't think about how others would react to his sudden change.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,5. I have no time for such childish nonsense.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, the story is pretty funny.",positive,,,
male,43,doctor,phd,low,high,low,low,low,2. The story is about a dog that thinks an oyster is an egg and swallows it.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. One learns from the story that not everything is what it seems.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. Agree that the dog learned a valuable lesson.,positive,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, I don't think I can relate to the story in my profession as a doctor.",negative,,,
male,43,doctor,phd,low,high,low,low,low,1. I'm not interested in that story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The man was trying to read the future in the stars, but he tripped and fell into a hole. The villagers pulled him out and scolded him for not paying attention to what was in front of him. They said he should focus on the present instead of trying to predict the future.",negative,,,
male,43,doctor,phd,low,high,low,low,low,3. It's apparent that people who are so caught up in trying to predict the future often overlook the obvious problems that they already have in front of them.,negative,,,
male,43,doctor,phd,low,high,low,low,low,4. I tend to agree with the lesson of the story. It's always good to be grounded and aware of one's surroundings rather than becoming absorbed in hypothetical scenarios.,positive,,,
male,43,doctor,phd,low,high,low,low,low,5. I've noticed this in my patients too - they sometimes become so focused on their future treatment plans that they fail to manage their current health properly.,negative,,,
male,43,doctor,phd,low,high,low,low,low,1. I don't like this story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The three bullocks had been feeding together in a field, but this allowed the lion to attack them when they got into a quarrel and separated. He was able to eat them one by one since they were no longer defending each other as they had been.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. One should stay vigilant when becoming complacent in having a strong defensive position, as external circumstances may give rise to an unexpected threat.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. Yes, staying vigilant even when seemingly secure is wise.",positive,,,
male,43,doctor,phd,low,high,low,low,low,5. I can relate the story to my own medical practice. I see many patients who are initially well-prepared but lose focus if other factors intervene. This can make them more susceptible to illness.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"1. This story is okay, I guess.",positive,,,
male,43,doctor,phd,low,high,low,low,low,2. The main content of the story is about a lion who pretends to be sick and eats his neighbors.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. You should be cautious of those who pretend to be weak.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. I don't really care about the lesson, but I suppose it's worth noting that some people might try to take advantage of others.",negative,,,
male,43,doctor,phd,low,high,low,low,low,5. That story is not really relevant to my experience.,negative,,,
male,43,doctor,phd,low,high,low,low,low,1. I'm not particularly fond of this story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a lion and a man who travel together in the forest and quarrel over who is stronger, only to be proven wrong by a statue that depicts Heracles and the Nemean lion.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. The story teaches that it's easy to be biased and make assumptions, and that others may have a different perspective that can be just as valid.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I disagree with the idea that everyone's opinions are equal. The man and the lion are clearly mistaken about their respective strengths.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. I have to admit, I've seen similar situations in my own practice as a doctor, where my patients often have misconceptions about their conditions.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I dislike this story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,2. The story is about an ass who tries to win his master's favor by acting like a dog but ends up getting a beating.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"3. One should not try to be someone they are not, it will only lead to trouble.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"4. The lesson is sound, but it's not necessarily true in all situations.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. I don't see myself in this story, but it's an interesting tale nonetheless.",positive,,,
male,43,doctor,phd,low,high,low,low,low,1. I didn't find the story engaging.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a milkmaid who loses her milk after daydreaming about future opportunities, resulting in her losing everything planned, including her pride.",negative,,,
male,43,doctor,phd,low,high,low,low,low,3. The importance of being present in the moment and not taking future opportunities for granted.,positive,,,
male,43,doctor,phd,low,high,low,low,low,"4. I don't agree with the idea that one's pride should be so easily lost, maybe she should've been more careful.",negative,,,
male,43,doctor,phd,low,high,low,low,low,5. I didn't see any direct relation between this story and my own experience as a doctor.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. I'm not interested in that story, it's a waste of time.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The fox tries to convince other foxes to cut off their tails, but it backfires. They end up laughing at him instead.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. I suppose one should think before acting, especially when giving speeches. And don't try to convince others to do something they're already comfortable with.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. Not really, since people value their tails, it's not a good idea to suggest cutting them off. Some things are best left alone.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, this situation is quite unrelated to my own experience, but it does reflect how people can be rather petty when it comes to appearances.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"1. The story is boring, I don't see the point of it.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. A butterfly fell in love with a rose, they made vows of constancy, but the rose found him cheating, and he found her cheating too.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. People are unfaithful, and that's all I learned from the story.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"4. Yes, it's ridiculous to expect constancy from others, it's the way it is.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. Sometimes I see people living the same way, it's like they're just pretending to be loyal.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I find the story uninteresting. ,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a cat and a fox traveling together. They start an argument, and then they hear a hunter's horn and yelping of hounds. The fox gets caught, and the cat escapes by hiding in a tree.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. It can be learned that overconfidence can lead to trouble.,negative,,,
male,43,doctor,phd,low,high,low,low,low,4. I agree with the lesson. It shows how important it is not to be too confident in oneself.,positive,,,
male,43,doctor,phd,low,high,low,low,low,5. This story reminds me of times when my colleagues boast about their abilities and end up failing when they're put to the test.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, I don't like this story.",negative,,,
male,43,doctor,phd,low,high,low,low,low,2. The story is about a boy who gets stung by a nettle and his mother teaches him a lesson.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. The story teaches the lesson that one should face their fears instead of running away from them.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"4. Yes, I agree with the lesson, the boy should have been brave enough to tolerate the initial pain and later realized that the nettle is harmless, but the lesson was not fully understood or that it needs immediate action.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. Yes, it reminded me that as a doctor, I need to teach my patients to be resilient in the face of adversity and to learn from their experiences.",positive,,,
male,43,doctor,phd,low,high,low,low,low,1. I'm indifferent to this story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about an eagle who wishes to get married and is looking for a mate who can provide for her. A kite offers to be her mate, boasting of his strength and ability to bring back food. However, he returns with only a tiny mouse, disappointing the eagle.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. One lesson from the story is that some people might exaggerate their abilities or make unrealistic promises in order to impress or gain favor with others.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I suppose it's a decent lesson. The story illustrates how easily someone can be misled by empty promises.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, this story doesn't relate to my own experience.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, I don't like this story.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a sheep and a stag. The stag asks the sheep to lend him a measure of wheat, but the wolf is supposed to be his surety.",neutral,,,
